Parcel Number,Class,County,Price,List Date,List Price,Selling Price,Selling Price,Days On Market,Days On MLS,Closed Date,Date History Status,Price / SqFt,List Price / SqFt,Sold Price/SqFt,Original Price,Date Price Change,How Sold Code,Address,City,State,Zip Code,SFHeatCool,Year Built,Baths,Bedrooms,Half-Baths,Condition,Listing Type,Listing Visibility Type,AddtRentYN,# Tenants,# Floors,Cap Rate %,Condition,Date Leased,For Comp Purposes Only Y/N,MLS Only Entry Y/N (No Services Provided),Number of Acres,Pass Thru Exp/SF Annual,Price/SqFt Annual,Price/SqFt Monthly,Sale/Rent,Short Sale Y/N,Taxes - Annual,Total # of Units,# of Garage Spaces,Garage Y/N,Net Operating Income,Pool Y/N,Zoning,Bank Owned Y/N,Auction
06600-012-003,AT,Alachua,"$55,750 ",11/9/2017,"$59,900 ","$55,750 ",,33,33,12/12/2017,12/12/2017,$54.95 ,,$51.15 ,"$59,900 ",12/12/2017,CASH,6256 SW 8TH Place,Gainesville,FL,32607,"1,090",1983,1,2,1,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$859 ,,,No,,,,No,No
07240-050-207,AT,Alachua,"$108,000 ",3/2/2018,"$115,000 ","$108,000 ",,31,31,4/2/2018,4/10/2018,$98.12 ,,$92.15 ,"$115,000 ",4/10/2018,CASH,4415 SW 34TH Street 207,Gainesville,FL,32608,"1,172",2000,2,2,1,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,676 ",,,No,,,,No,No
13199-010-011,AT,Alachua,"$59,000 ",4/28/2017,"$63,000 ","$59,000 ",,88,88,8/3/2017,8/9/2017,$68.63 ,,$64.27 ,"$63,000 ",8/9/2017,CONVENTIONAL,914 SW 8th Avenue 34,Gainesville,FL,32601,918,1969,1,4,1,,Exclusive Right of Sale,MLS Listing,,,,,,,No,Yes,,,,,For Sale,No,"$1,070 ",,,No,,,,No,No
06770-151-000,AT,Alachua,"$55,000 ",1/13/2018,"$56,000 ","$55,000 ",,41,41,2/23/2018,2/27/2018,$45.68 ,,$44.86 ,"$56,000 ",2/27/2018,CASH,2811 SW Archer Road S-151,Gainesville,FL,32608,"1,226",1985,2,2,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,022 ",,,No,,,,No,No
07242-090-007,AT,Alachua,"$105,000 ",7/6/2019,"$105,000 ","$105,000 ",,18,18,7/24/2019,7/25/2019,$89.90 ,,$89.90 ,"$105,000 ",7/6/2019,CASH,4411 SW 34th Street 907,Gainesville,FL,32608,"1,168",1985,2,2,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,329 ",,,No,,,,No,No
06685-119-003,AT,Alachua,"$85,000 ",10/4/2018,"$87,900 ","$85,000 ",,141,141,2/22/2019,2/26/2019,$82.77 ,,$80.04 ,"$87,900 ",2/26/2019,CASH,2300 SW 43RD Street S-3,Gainesville,FL,32607,"1,062",1985,1,2,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$984 ,,,No,,,,No,No
09013-033-001,AT,Alachua,"$220,000 ",8/1/2019,"$230,000 ","$220,000 ",,71,71,10/11/2019,10/18/2019,$124.86 ,,$119.44 ,"$240,000 ",10/18/2019,CASH,1642 NW 19th Circle,Gainesville,FL,32605,"1,842",1986,2,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,822 ",,1,Yes,,,,No,No
6770209000,AT,Alachua,"$44,000 ",12/19/2016,"$46,500 ","$44,000 ",,44,44,2/1/2017,2/2/2017,$53.08 ,,$50.23 ,"$46,500 ",2/2/2017,CASH,2811 SW Archer Road X-209,Gainesville,FL,32608,876,1985,1,2,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$770 ,,,No,,,,No,No
06126-042-000,AT,Alachua,"$112,000 ",2/21/2019,"$112,000 ","$112,000 ",,15,15,3/8/2019,3/12/2019,$120.56 ,,$120.56 ,"$112,000 ",2/21/2019,CASH,3303 NW 53rd Terrace,Gainesville,FL,32606,929,1985,2,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,826 ",,,No,,,,No,No
09013-033-002,AT,Alachua,"$217,000 ",3/1/2019,"$208,000 ","$217,000 ",,73,70,5/13/2019,5/13/2019,$87.39 ,,$91.18 ,"$215,000 ",5/13/2019,CONVENTIONAL,1640 NW 19 Circle,Gainesville,FL,32605,"2,380",1981,2,4,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,Yes,,,,,For Sale,No,"$3,194 ",,2,Yes,,,,No,No
